City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
267,huanren,41.2647,125.3667,-10.71,57,5,2.69,CN,1734486052
268,tosontsengel,48.7567,98.2839,-19.59,97,100,1.07,MN,1734486053
269,cabo san lucas,22.8909,-109.9124,22.17,70,0,2.06,MX,1734486054
270,phulbani,20.4667,84.2333,16.56,60,83,0.36,IN,1734486055
271,aleksandrovsk-sakhalinskiy,50.8975,142.1561,-10.67,81,100,5.3,RU,1734486057
272,antsiranana,-12.2787,49.2917,24.05,82,95,5.47,MG,1734486058
273,chefchaouene,35.1688,-5.2636,13.66,50,27,0.14,MA,1734486059
274,can giuoc,10.6167,106.6667,26.16,68,33,1.64,VN,1734486060
275,polyarnyy,69.1989,33.4478,-15.63,87,100,2.26,RU,1734486061
276,matoury,4.8483,-52.3317,22.98,100,100,0.0,GF,1734486063
277,korhogo,9.45,-5.6333,19.04,18,0,2.21,CI,1734486065
278,morehead city,34.7229,-76.726,17.24,94,72,0.89,US,1734485803
279,wagar,16.1525,36.2032,21.51,82,29,4.81,SD,1734486068
280,mitsamiouli,-11.3847,43.2844,26.88,78,81,4.05,KM,1734486069
281,deshnoke,27.8,73.35,9.79,18,6,3.43,IN,1734486070
282,cornwall,45.0181,-74.7281,4.06,81,100,5.66,CA,1734486071
283,kruisfontein,-34.0033,24.7314,13.48,87,0,2.5,ZA,1734486074
284,ciudad lazaro cardenas,17.9583,-102.2,25.82,82,24,1.81,MX,1734486075
285,xianshuigu,38.985,117.3828,-3.0,39,0,4.0,CN,1734486076
286,armacao de buzios,-22.7469,-41.8817,22.61,89,74,3.54,BR,1734485890
287,saipan,15.1355,145.701,31.39,83,40,8.75,MP,1734486079
288,murici,-9.3067,-35.9433,25.16,90,6,1.42,BR,1734486080
289,holualoa,19.6228,-155.9522,26.02,70,0,5.66,US,1734485996
290,igarka,67.4667,86.5833,-7.15,94,100,9.84,RU,1734486083
291,nazilli,37.9163,28.3223,7.41,56,0,1.17,TR,1734486084
292,mogocha,53.7333,119.7667,-15.54,82,100,0.83,RU,1734486085
293,kralendijk,12.15,-68.2667,28.99,79,75,6.69,BQ,1734486086
294,zabol,32.25,67.25,1.04,51,100,2.6,AF,1734486087
295,merizo village,13.2658,144.6691,27.31,92,53,8.93,GU,1734486089
296,filadelfia,39.9523,-75.1638,10.01,84,0,2.57,US,1734486047
297,manakara,-22.1333,48.0167,22.58,92,40,2.81,MG,1734486091
298,nantucket,41.2835,-70.0995,8.41,93,20,5.14,US,1734485875
299,kingston,17.997,-76.7936,27.53,69,20,1.03,JM,1734486026
300,beledweyne,4.7358,45.2036,22.75,69,13,7.35,SO,1734486096
301,hamilton,39.1834,-84.5333,6.47,75,0,1.34,US,1734485991
302,coquimbo,-29.9533,-71.3436,14.85,84,0,3.09,CL,1734486085
303,meadow lake,34.8014,-106.5436,10.38,21,81,3.07,US,1734486100
304,puerto baquerizo moreno,-0.9,-89.6,22.61,85,40,3.6,EC,1734486103
305,kerikeri,-35.2268,173.9474,24.95,50,2,1.34,NZ,1734486104
306,cururupu,-1.8283,-44.8683,26.0,82,63,2.03,BR,1734486105
307,kone,-21.0595,164.8658,30.59,62,100,1.38,NC,1734486107
308,aldinga beach,-35.2793,138.4604,23.69,38,0,5.35,AU,1734486108
309,kavaratti,10.5669,72.642,26.46,69,100,1.73,IN,1734486110
310,maxixe,-23.8597,35.3472,24.94,94,100,2.52,MZ,1734486111
311,teguise,29.0605,-13.564,19.12,49,55,6.69,ES,1734486112
312,tazacorte,28.629,-17.9293,20.54,54,0,1.54,ES,1734486113
313,puerto cabezas,14.0351,-83.3888,23.61,94,1,2.6,NI,1734486115
314,cuito,-12.3833,16.9333,15.5,95,100,1.21,AO,1734486116
315,bolhrad,45.6826,28.6149,7.5,67,52,5.83,UA,1734486118
316,gereida,11.2811,25.1414,20.57,30,100,4.4,SD,1734486119
317,al kharijah,25.4514,30.5464,12.9,70,76,4.21,EG,1734486121
